หมวดข้อมูล,จังหวัด,โรงพยาบาล,ตัวชี้วัด,ค่า,หน่วย,แหล่งข้อมูล,สถานะข้อมูล
ประชากร_HDC_2569,เชียงใหม่,นครพิงค์,ประชากรชาย,566320.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,เชียงใหม่,นครพิงค์,ประชากรหญิง,604374.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,เชียงใหม่,นครพิงค์,ประชากรรวม,1170694.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,เชียงราย,เชียงรายประชานุเคราะห์,ประชากรชาย,430935.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,เชียงราย,เชียงรายประชานุเคราะห์,ประชากรหญิง,453202.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,เชียงราย,เชียงรายประชานุเคราะห์,ประชากรรวม,884137.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,ลำปาง,ลำปาง,ประชากรชาย,240205.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,ลำปาง,ลำปาง,ประชากรหญิง,260971.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,ลำปาง,ลำปาง,ประชากรรวม,501176.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,น่าน,น่าน,ประชากรชาย,172461.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,น่าน,น่าน,ประชากรหญิง,177885.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,น่าน,น่าน,ประชากรรวม,350346.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,พะเยา,พะเยา,ประชากรชาย,169109.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,พะเยา,พะเยา,ประชากรหญิง,180969.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,พะเยา,พะเยา,ประชากรรวม,350078.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,ลำพูน,ลำพูน,ประชากรชาย,162912.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,ลำพูน,ลำพูน,ประชากรหญิง,174541.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,ลำพูน,ลำพูน,ประชากรรวม,337453.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,แพร่,แพร่,ประชากรชาย,150121.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,แพร่,แพร่,ประชากรหญิง,165542.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,แพร่,แพร่,ประชากรรวม,315663.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,แม่ฮ่องสอน,-,ประชากรชาย,89933.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,แม่ฮ่องสอน,-,ประชากรหญิง,89950.0,คน,HDC,ข้อมูลจริง
ประชากร_HDC_2569,แม่ฮ่องสอน,-,ประชากรรวม,179883.0,คน,HDC,ข้อมูลจริง
กำลังคน_แพทย์,-,นครพิงค์,นายแพทย์,274.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,นครพิงค์,นักเทคนิคการแพทย์,43.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,นครพิงค์,ทันตแพทย์,31.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,นครพิงค์,นักรังสีการแพทย์,22.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,นครพิงค์,ผู้ช่วยทันตแพทย์,19.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,นครพิงค์,พนักงานการแพทย์และรังสีเทคนิค,16.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,นครพิงค์,นักวิทยาศาสตร์การแพทย์,6.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,นครพิงค์,แพทย์แผนไทย,4.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,นครพิงค์,เจ้าพนักงานวิทยาศาสตร์การแพทย์,4.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,นครพิงค์,ผู้อำนวยการเฉพาะด้าน(แพทย์),1.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,น่าน,นายแพทย์,119.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,น่าน,นักเทคนิคการแพทย์,34.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,น่าน,ทันตแพทย์,31.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,น่าน,ผู้ช่วยทันตแพทย์,22.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,น่าน,นักรังสีการแพทย์,11.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,น่าน,พนักงานการแพทย์และรังสีเทคนิค,7.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,น่าน,แพทย์แผนไทย,5.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,น่าน,เจ้าพนักงานวิทยาศาสตร์การแพทย์,5.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,น่าน,ผู้อำนวยการเฉพาะด้าน(แพทย์),2.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,น่าน,แพทย์แผนไทย/นักวิชาการสาธารณสุข,1.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,น่าน,นักวิทยาศาสตร์การแพทย์,1.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,น่าน,ช่างภาพการแพทย์,1.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,พะเยา,นายแพทย์,72.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,พะเยา,นักเทคนิคการแพทย์,19.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,พะเยา,ทันตแพทย์,18.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,พะเยา,เจ้าพนักงานวิทยาศาสตร์การแพทย์,8.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,พะเยา,นักรังสีการแพทย์,7.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,พะเยา,พนักงานการแพทย์และรังสีเทคนิค,6.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,พะเยา,แพทย์แผนไทย,4.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,พะเยา,ผู้ช่วยทันตแพทย์,3.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,พะเยา,นักวิทยาศาสตร์การแพทย์,3.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,พะเยา,ผู้อำนวยการเฉพาะด้าน(แพทย์),2.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,พะเยา,เจ้าพนักงานรังสีการแพทย์,1.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,ลำปาง,นายแพทย์,238.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,ลำปาง,นักเทคนิคการแพทย์,47.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,ลำปาง,ทันตแพทย์,28.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,ลำปาง,นักรังสีการแพทย์,17.0,คน,hr_blueprint.db,ข้อมูลจริง
กำลังคน_แพทย์,-,ลำปาง,พนักงานการแพทย์และรังสีเทคนิค,11.0,คน,hr_blueprint.db,ข้อมูลจริง
